DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester
3/15/20,0,2,3,1,0,0,1,0,1,0,0,0,2,0,0,12,9,0,0,0,0,0,0,0
3/16/20,0,1,4,1,0,0,1,0,1,0,0,0,2,1,0,10,15,0,0,0,1,0,0,0
3/17/20,0,3,6,1,0,0,1,0,1,0,1,0,2,3,0,24,14,0,0,0,1,0,0,0
3/18/20,0,4,10,4,0,0,1,0,2,0,1,0,3,8,0,31,20,0,0,0,1,0,0,0
3/19/20,0,5,12,8,1,0,2,0,2,0,1,0,3,16,0,33,23,0,0,0,1,0,0,0
3/20/20,0,10,13,11,1,0,3,0,2,0,1,0,5,18,0,51,31,0,0,0,1,0,1,1
3/21/20,0,15,19,15,1,0,3,0,4,0,1,0,5,19,0,68,36,0,0,0,1,0,2,1
3/22/20,0,18,28,24,2,1,4,1,4,0,1,0,5,24,0,83,40,0,1,1,1,1,2,2
3/23/20,0,20,35,31,2,1,5,1,5,0,2,3,5,26,0,93,47,1,1,1,1,2,4,2
3/24/20,0,24,42,41,3,1,5,3,5,0,4,3,5,30,0,107,63,1,1,2,1,2,4,2
3/25/20,0,31,51,53,3,1,5,4,8,0,7,3,5,35,1,127,76,1,1,2,1,2,4,2
3/26/20,0,41,81,72,7,1,7,4,10,0,14,3,9,49,1,164,101,1,1,4,1,2,5,2
3/27/20,0,63,103,88,9,1,9,9,17,0,15,3,18,62,2,208,148,1,1,4,1,5,5,2
3/28/20,0,88,141,112,8,1,10,13,21,0,22,3,21,73,2,255,196,1,1,8,2,6,6,2
3/29/20,0,99,162,129,10,3,82,13,28,0,24,3,23,81,3,301,247,4,1,8,3,6,6,2
3/30/20,0,110,186,152,12,4,82,13,33,0,26,3,24,96,3,341,294,4,1,9,4,7,6,3
3/31/20,0,127,227,187,15,4,92,14,40,0,33,3,25,117,3,388,341,4,1,15,3,11,7,3
4/1/20,0,158,289,221,18,4,96,16,56,1,35,3,34,142,3,447,403,7,4,19,3,15,7,4
4/2/20,1,206,353,265,22,4,105,20,69,1,45,3,37,152,5,498,473,8,4,27,4,17,7,5
4/3/20,2,249,427,313,30,4,129,25,90,1,54,3,41,166,5,566,563,12,4,30,5,27,7,5
4/4/20,3,289,491,343,33,4,134,33,95,1,73,3,44,180,5,640,653,13,4,34,6,29,8,7
4/5/20,6,319,590,394,39,4,142,36,111,1,112,3,52,199,5,693,785,13,4,40,7,34,11,9
4/6/20,6,343,648,435,40,6,150,37,129,1,138,3,55,214,5,793,916,15,4,41,8,37,11,10
4/7/20,7,370,652,459,41,11,159,41,136,3,151,3,59,236,8,871,"1,020",15,4,46,8,44,17,10
4/8/20,6,466,866,571,56,11,186,49,164,4,199,5,86,274,9,"1,088","1,310",16,4,62,10,57,20,10
4/9/20,8,505,979,638,66,12,203,54,180,7,233,5,101,299,9,"1,214","1,476",17,4,65,13,60,21,16
4/10/20,10,554,"1,072",689,76,12,214,64,220,7,289,4,110,319,9,"1,388","1,716",17,4,71,13,66,28,16
4/11/20,11,615,"1,173",756,82,15,214,66,235,8,341,4,120,351,10,"1,537","1,923",19,4,73,13,72,33,19
4/12/20,13,659,"1,257",812,90,17,236,74,253,9,368,4,129,371,11,"1,631","2,035",19,4,82,14,75,42,20
4/13/20,15,724,"1,361",873,94,21,250,83,274,12,417,4,142,386,11,"1,756","2,205",19,6,95,16,93,58,21
4/14/20,17,783,"1,377",962,99,21,259,85,292,14,441,4,147,403,11,"1,883","2,356",19,5,98,16,96,63,21
4/15/20,17,845,"1,485","1,060",102,22,262,90,310,16,442,4,152,424,11,"1,933","2,516",19,5,99,14,106,76,22
4/16/20,20,896,"1,516","1,160",103,23,283,101,327,18,497,4,161,451,11,"2,133","2,722",19,6,98,14,109,87,25
4/17/20,26,966,"1,569","1,273",109,28,288,127,337,20,525,4,176,475,14,"2,280","2,966",19,9,100,14,116,103,28
4/18/20,33,"1,005","1,664","1,378",109,33,308,131,347,20,557,4,195,508,16,"2,404","3,160",24,10,101,16,116,138,31
4/19/20,33,"1,047","1,733","1,392",113,33,313,131,370,21,591,4,210,515,18,"2,507","3,345",25,10,105,19,117,145,33
4/20/20,32,"1,098","1,875","1,511",114,39,335,134,392,23,616,4,226,538,28,"2,647","3,583",26,11,107,22,123,166,34
4/21/20,56,"1,157","1,925","1,542",116,41,330,134,401,25,632,4,232,565,29,"2,768","3,734",27,11,107,22,126,176,33
4/22/20,58,"1,190","2,012","1,602",118,41,344,134,427,28,658,4,267,592,36,"2,868","3,875",31,11,112,23,127,183,34
4/23/20,77,"1,294","2,132","1,672",121,50,355,140,442,31,690,4,280,618,64,"3,060","4,141",33,12,115,25,139,203,39
4/24/20,90,"1,373","2,234","1,728",125,55,372,144,459,32,765,4,289,642,67,"3,227","4,403",43,13,119,23,143,222,44
4/25/20,105,"1,430","2,387","1,791",130,61,384,146,483,38,814,4,302,686,67,"3,483","4,795",52,14,124,28,154,242,46
4/26/20,113,"1,510","2,509","1,866",134,63,391,154,504,46,834,4,319,707,68,"3,645","4,987",53,16,133,34,173,270,48
4/27/20,114,"1,544","2,548","1,933",138,68,403,163,529,51,865,4,352,778,70,"3,843","5,263",54,19,144,34,181,336,53
4/28/20,115,"1,571","2,631","1,977",139,69,416,163,539,52,870,4,358,802,73,"4,003","5,496",55,20,145,34,187,340,54
4/29/20,116,"1,662","2,740","2,014",142,69,421,164,551,51,893,4,371,831,73,"4,152","5,738",55,21,145,34,197,350,55
4/30/20,118,"1,725","2,831","2,068",150,71,436,167,564,51,918,4,414,867,79,"4,300","6,043",52,26,150,35,206,406,61
5/1/20,118,"1,807","3,013","2,162",161,74,460,176,611,54,942,4,437,896,86,"4,754","6,735",52,30,159,35,216,425,65
5/2/20,121,"1,885","3,183","2,237",160,79,480,187,622,59,976,4,468,931,80,"4,919","7,041",57,32,164,39,225,452,72
5/3/20,124,"1,959","3,301","2,319",162,95,494,188,637,71,"1,004",4,479,969,91,"5,150","7,333",60,33,165,44,232,473,75
5/4/20,126,"2,018","3,448","2,411",171,98,506,194,651,75,"1,038",4,491,992,95,"5,384","7,598",63,35,168,45,237,480,80
5/5/20,129,"2,045","3,430","2,609",174,99,513,195,660,76,"1,071",4,499,"1,010",95,"5,541","7,831",65,37,170,45,238,500,81
5/6/20,129,"2,085","3,527","2,752",184,101,521,200,670,79,"1,108",4,532,"1,061",94,"5,790","8,135",67,39,186,45,251,517,86
5/7/20,143,"2,194","3,662","2,856",188,105,534,208,698,85,"1,151",4,552,"1,098",98,"6,032","8,516",68,40,193,52,260,541,96
5/8/20,143,"2,290","3,763","2,941",191,107,542,211,716,86,"1,182",5,572,"1,138",98,"6,316","8,901",70,41,207,55,259,553,98
5/9/20,144,"2,372","3,737","3,208",202,110,551,219,729,91,"1,213",6,589,"1,170",102,"6,555","9,205",72,42,234,58,265,558,102
5/10/20,146,"2,463","3,862","3,317",206,133,560,242,748,95,"1,251",6,605,"1,205",113,"6,762","9,496",80,43,241,60,276,571,106
5/11/20,146,"2,492","3,948","3,353",209,167,583,267,756,98,"1,267",6,605,"1,223",116,"6,909","9,687",100,50,244,61,283,690,113
5/12/20,148,"2,520","4,051","3,404",211,174,589,270,761,102,"1,282",6,614,"1,234",120,"7,130","9,892",103,51,246,61,284,694,114
5/13/20,149,"2,596","4,160","3,476",214,177,595,271,778,102,"1,302",6,629,"1,258",123,"7,283","10,072",104,51,254,62,287,738,125
5/14/20,150,"2,661","4,290","3,505",225,183,619,291,796,104,"1,325",6,663,"1,285",125,"7,548","10,449",106,51,271,64,305,754,127
5/15/20,151,"2,752","4,399","3,606",228,190,635,300,829,107,"1,364",6,671,"1,313",131,"7,759","10,791",108,54,299,65,320,777,131
5/16/20,160,"2,801","4,549","3,719",237,200,633,308,844,111,"1,402",7,678,"1,352",138,"7,988","11,031",112,55,306,68,332,801,136
5/17/20,161,"2,856","4,624","3,798",241,191,646,308,859,111,"1,423",6,687,"1,378",137,"8,206","11,316",125,57,313,68,338,818,137
