Self-Reported Cases By Role,Faculty,Staff,Student,Grand Total
2022,104,251,668,1023
9/20/2022,1,2,21,24
9/21/2022,,3,15,18
9/22/2022,1,5,10,16
9/23/2022,1,,7,8
9/24/2022,2,,8,10
9/25/2022,3,,9,12
9/26/2022,2,1,10,13
9/27/2022,1,3,10,14
9/28/2022,5,4,4,13
9/29/2022,4,4,4,12
9/30/2022,2,4,2,8
10/1/2022,1,1,8,10
10/2/2022,1,1,4,6
10/3/2022,3,3,6,12
10/4/2022,,3,8,11
10/5/2022,5,,8,13
10/6/2022,,2,4,6
10/7/2022,,2,4,6
10/8/2022,1,2,4,7
10/9/2022,,2,1,3
10/10/2022,1,1,8,10
10/11/2022,,2,2,4
10/12/2022,,5,10,15
10/13/2022,1,3,3,7
10/14/2022,2,1,6,9
10/15/2022,1,3,6,10
10/16/2022,,3,4,7
10/17/2022,1,4,8,13
10/18/2022,2,2,5,9
10/19/2022,1,5,4,10
10/20/2022,2,1,15,18
10/21/2022,1,3,9,13
10/22/2022,1,,9,10
10/23/2022,,5,5,10
10/24/2022,1,2,13,16
10/25/2022,3,2,11,16
10/26/2022,2,4,15,21
10/27/2022,,3,7,10
10/28/2022,,6,6,12
10/29/2022,1,4,4,9
10/30/2022,,1,9,10
10/31/2022,,4,8,12
11/1/2022,2,3,14,19
11/2/2022,,5,10,15
11/3/2022,,2,11,13
11/4/2022,1,2,7,10
11/5/2022,1,2,5,8
11/6/2022,1,1,11,13
11/7/2022,,1,7,8
11/8/2022,1,4,8,13
11/9/2022,,1,4,5
11/10/2022,,1,5,6
11/11/2022,1,1,6,8
11/12/2022,,2,2,4
11/13/2022,1,1,3,5
11/14/2022,2,,4,6
11/15/2022,,3,7,10
11/16/2022,2,5,3,10
11/17/2022,,1,7,8
11/18/2022,2,1,5,8
11/19/2022,,1,3,4
11/20/2022,1,,2,3
11/21/2022,1,1,10,12
11/22/2022,2,5,4,11
11/23/2022,3,,4,7
11/24/2022,1,5,,6
11/25/2022,3,1,4,8
11/26/2022,,2,6,8
11/27/2022,1,7,10,18
11/28/2022,,1,9,10
11/29/2022,1,5,11,17
11/30/2022,1,4,16,21
12/1/2022,,4,8,12
12/2/2022,,,2,2
12/3/2022,3,,4,7
12/4/2022,1,2,5,8
12/5/2022,2,3,6,11
12/6/2022,1,1,7,9
12/7/2022,1,2,10,13
12/8/2022,1,3,7,11
12/9/2022,2,3,7,12
12/10/2022,1,8,12,21
12/11/2022,2,4,8,14
12/12/2022,,3,13,16
12/13/2022,1,4,8,13
12/14/2022,1,2,8,11
12/15/2022,,4,8,12
12/16/2022,,4,6,10
12/17/2022,1,2,5,8
12/18/2022,1,3,4,8
12/19/2022,1,1,4,6
12/20/2022,,2,2,4
12/21/2022,1,3,,4
12/22/2022,,1,4,5
12/23/2022,,,3,3
12/24/2022,,,1,1
12/25/2022,,2,1,3
12/26/2022,1,2,1,4
12/27/2022,,5,5,10
12/28/2022,1,,2,3
12/29/2022,1,2,1,4
12/30/2022,,3,3,6
12/31/2022,,4,1,5
2023,100,283,559,942
1/1/2023,,2,4,6
1/2/2023,1,8,8,17
1/3/2023,1,6,4,11
1/4/2023,3,5,6,14
1/5/2023,1,3,2,6
1/6/2023,2,6,2,10
1/7/2023,2,4,3,9
1/8/2023,1,4,5,10
1/9/2023,1,,2,3
1/10/2023,2,1,3,6
1/11/2023,1,2,1,4
1/12/2023,,3,2,5
1/13/2023,,2,,2
1/14/2023,,1,4,5
1/15/2023,,1,4,5
